SCH_DEP_DATE,cargo_diff
2020-08-13,-1010351.9129999997
2020-08-14,770222.9299999997
2020-08-15,115159.8080000002
2020-08-16,-764623.3629999999
2020-08-17,-849788.3940000003
2020-08-18,448557.12799999956
2020-08-19,1180791.625
2020-08-20,-948419.0519999992
2020-08-21,802720.9339999994
2020-08-22,394459.91500000004
2020-08-23,-579066.1519999998
2020-08-24,-1211848.5870000003
2020-08-25,252974.83499999996
2020-08-26,1611977.4359999998
2020-08-27,-471175.87099999934
2020-08-28,164246.89699999988
2020-08-29,113762.68800000008
2020-08-30,-286727.3420000002
2020-08-31,-757640.2549999999
2020-09-01,-458062.6839999999
2020-09-02,2025091.0969999996
2020-09-03,-1226883.6439999994
2020-09-04,1233121.3809999991
2020-09-05,545916.9990000008
2020-09-06,-497378.7170000002
2020-09-07,-1538901.505
2020-09-08,208974.2979999995
2020-09-09,1281197.6579999998
2020-09-10,-843837.9279999994
2020-09-11,1404100.3250000002
2020-09-12,-343319.7190000005
2020-09-13,-418121.3700000001
2020-09-14,-1480046.932
2020-09-15,125472.51599999983
2020-09-16,1774852.1340000005
2020-09-17,-909876.8250000002
2020-09-18,800652.5049999999
2020-09-19,165807.87399999984
2020-09-20,-140967.36799999978
2020-09-21,-1385453.9019999998
2020-09-22,-316783.30200000014
2020-09-23,1437079.8760000002
2020-09-24,-691172.7280000001
2020-09-25,1123411.5080000004
2020-09-26,548963.3769999994
2020-09-27,-728356.9749999996
2020-09-28,-1847929.966
2020-09-29,402974.9349999996
2020-09-30,1032363.1510000005
2020-10-01,-498530.9070000006
2020-10-02,1015047.5449999999
2020-10-03,489411.77600000054
2020-10-04,-448687.2000000002
2020-10-05,-1994843.96
2020-10-06,807719.1150000002
2020-10-07,1268814.5769999996
2020-10-08,-265405.8360000001
2020-10-09,195646.92400000058
2020-10-10,706569.0619999999
2020-10-11,-1091595.4299999997
2020-10-12,-1001498.4300000006
2020-10-13,-136393.61799999978
2020-10-14,1249956.6459999997
2020-10-15,-428846.2790000001
2020-10-16,556524.773
2020-10-17,303506.39300000016
2020-10-18,-341433.7019999996
2020-10-19,-1602668.9610000001
2020-10-20,388240.7299999995
2020-10-21,1749211.6960000005
2020-10-22,-835791.608
2020-10-23,552936.148
2020-10-24,683417.1200000001
2020-10-25,-695369.1330000004
2020-10-26,-1301313.9859999996
2020-10-27,207593.75
2020-10-28,1489860.3669999996
2020-10-29,-755877.2469999995
2020-10-30,109768.59399999958
2020-10-31,547096.6359999999
2020-11-01,-265218.18099999987
2020-11-02,-1820038.108
2020-11-03,953971.8439999996
2020-11-04,731911.324
2020-11-05,-88691.59499999974
2020-11-06,74283.35500000045
2020-11-07,777466.1140000001
2020-11-08,-303465.1620000005
2020-11-09,-1818650.3650000002
2020-11-10,661059.6220000004
2020-11-11,835748.9339999994
2020-11-12,-245399.40999999922
2020-11-13,426032.98199999984
2020-11-14,288204.70299999975
2020-11-15,-485638.875
2020-11-16,-1591597.7699999996
2020-11-17,756180.9629999995
2020-11-18,600712.5520000001
2020-11-19,68087.0719999997
2020-11-20,188142.71300000045
2020-11-21,171881.07099999953
2020-11-22,-487619.20299999975
2020-11-23,-1200456.3059999999
2020-11-24,30502.16000000015
2020-11-25,1382622.7699999996
2020-11-26,-280229.09700000007
2020-11-27,307075.1850000005
2020-11-28,407698.1710000001
2020-11-29,-188252.96300000045
2020-11-30,-1582900.704
2020-12-01,310758.84800000023
2020-12-02,1630316.9270000001
2020-12-03,-779297.9740000004
2020-12-04,267949.2290000003
2020-12-05,649587.8619999997
2020-12-06,23255.733000000007
2020-12-07,-1865884.3949999996
2020-12-08,480489.90399999917
2020-12-09,858125.6010000007
2020-12-10,-382570.27100000065
2020-12-11,396447.6860000007
2020-12-12,933068.3999999994
2020-12-13,-591078.8020000001
2020-12-14,-1288497.8139999993
2020-12-15,195091.77699999977
2020-12-16,1090488.5759999994
2020-12-17,-548865.0689999992
2020-12-18,-70623.4740000004
2020-12-19,614187.79
2020-12-20,-490218.33100000024
2020-12-21,-1511161.2989999996
2020-12-22,173678.69900000002
2020-12-23,1394379.2649999997
2020-12-24,-1323040.9399999995
